release_year,genre,total
2015,Action & Adventure,7
2015,"Action & Adventure, Anime Features, International Movies",1
2015,"Action & Adventure, Comedies",3
2015,"Action & Adventure, Comedies, Independent Movies",2
2015,"Action & Adventure, Comedies, International Movies",6
2015,"Action & Adventure, Comedies, Romantic Movies",1
2015,"Action & Adventure, Documentaries, International Movies",1
2015,"Action & Adventure, Dramas",1
2015,"Action & Adventure, Dramas, International Movies",18
2015,"Action & Adventure, Horror Movies",1
2015,"Action & Adventure, Horror Movies, International Movies",1
2015,"Action & Adventure, Independent Movies",1
2015,"Action & Adventure, International Movies",4
2015,"Action & Adventure, International Movies, Sci-Fi & Fantasy",1
2015,"Action & Adventure, Sci-Fi & Fantasy",4
2015,"Action & Adventure, Thrillers",1
2015,Anime Features,1
2015,"Anime Series, Crime TV Shows, International TV Shows",1
2015,"Anime Series, Crime TV Shows, TV Thrillers",1
2015,"Anime Series, International TV Shows",5
2015,"Anime Series, International TV Shows, Teen TV Shows",2
2015,"Anime Series, Kids' TV",2
2015,"British TV Shows, Classic & Cult TV, TV Comedies",1
2015,"British TV Shows, Crime TV Shows, Docuseries",4
2015,"British TV Shows, Crime TV Shows, International TV Shows",1
2015,"British TV Shows, Docuseries",2
2015,"British TV Shows, Docuseries, International TV Shows",1
2015,"British TV Shows, Docuseries, Science & Nature TV",5
2015,"British TV Shows, International TV Shows, Reality TV",1
2015,"British TV Shows, International TV Shows, TV Comedies",1
2015,"British TV Shows, International TV Shows, TV Dramas",1
2015,"British TV Shows, Kids' TV",3
2015,"British TV Shows, Reality TV",1
2015,"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1
2015,Children & Family Movies,11
2015,"Children & Family Movies, Comedies",4
2015,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",1
2015,"Children & Family Movies, Comedies, Sports Movies",1
2015,"Children & Family Movies, Dramas, Music & Musicals",1
2015,"Children & Family Movies, Dramas, Romantic Movies",1
2015,"Children & Family Movies, Dramas, Sports Movies",1
2015,"Children & Family Movies, Music & Musicals",2
2015,"Children & Family Movies, Sci-Fi & Fantasy",1
2015,"Classic & Cult TV, TV Horror, TV Mysteries",1
2015,Comedies,5
2015,"Comedies, Dramas, Independent Movies",9
2015,"Comedies, Dramas, International Movies",17
2015,"Comedies, Dramas, LGBTQ Movies",1
2015,"Comedies, Dramas, Romantic Movies",1
2015,"Comedies, Horror Movies",1
2015,"Comedies, Horror Movies, International Movies",2
2015,"Comedies, Horror Movies, Sci-Fi & Fantasy",1
2015,"Comedies, Independent Movies",2
2015,"Comedies, Independent Movies, International Movies",1
2015,"Comedies, International Movies",13
2015,"Comedies, International Movies, Music & Musicals",4
2015,"Comedies, International Movies, Romantic Movies",14
2015,"Comedies, International Movies, Sports Movies",1
2015,"Comedies, LGBTQ Movies",1
2015,"Comedies, Music & Musicals",2
2015,"Comedies, Romantic Movies",1
2015,"Crime TV Shows, Docuseries",2
2015,"Crime TV Shows, International TV Shows, Korean TV Shows",1
2015,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",3
2015,"Crime TV Shows, International TV Shows, TV Action & Adventure",3
2015,"Crime TV Shows, International TV Shows, TV Comedies",1
2015,"Crime TV Shows, International TV Shows, TV Dramas",6
2015,"Crime TV Shows, TV Comedies, TV Dramas",1
2015,"Crime TV Shows, TV Dramas, TV Thrillers",1
2015,Documentaries,26
2015,"Documentaries, Faith & Spirituality, International Movies",1
2015,"Documentaries, International Movies",19
2015,"Documentaries, International Movies, LGBTQ Movies",1
2015,"Documentaries, International Movies, Music & Musicals",4
2015,"Documentaries, International Movies, Sports Movies",5
2015,"Documentaries, LGBTQ Movies",1
2015,"Documentaries, Music & Musicals",5
2015,"Documentaries, Sports Movies",3
2015,"Documentaries, Stand-Up Comedy",1
2015,Docuseries,3
2015,"Docuseries, International TV Shows",1
2015,"Docuseries, International TV Shows, Science & Nature TV",1
2015,"Docuseries, Reality TV",1
2015,"Docuseries, Science & Nature TV",1
2015,Dramas,8
2015,"Dramas, Faith & Spirituality",2
2015,"Dramas, Faith & Spirituality, International Movies",1
2015,"Dramas, Independent Movies",16
2015,"Dramas, Independent Movies, International Movies",21
2015,"Dramas, Independent Movies, Music & Musicals",1
2015,"Dramas, Independent Movies, Romantic Movies",2
2015,"Dramas, Independent Movies, Sci-Fi & Fantasy",2
2015,"Dramas, Independent Movies, Thrillers",2
2015,"Dramas, International Movies",30
2015,"Dramas, International Movies, LGBTQ Movies",3
2015,"Dramas, International Movies, Music & Musicals",3
2015,"Dramas, International Movies, Romantic Movies",13
2015,"Dramas, International Movies, Sci-Fi & Fantasy",2
2015,"Dramas, International Movies, Sports Movies",3
2015,"Dramas, International Movies, Thrillers",10
2015,"Dramas, LGBTQ Movies",2
2015,"Dramas, LGBTQ Movies, Romantic Movies",1
2015,"Dramas, Romantic Movies",1
2015,"Dramas, Romantic Movies, Sci-Fi & Fantasy",1
2015,"Dramas, Sports Movies",1
2015,"Dramas, Thrillers",5
2015,Horror Movies,1
2015,"Horror Movies, Independent Movies",2
2015,"Horror Movies, Independent Movies, International Movies",1
2015,"Horror Movies, Independent Movies, Thrillers",3
2015,"Horror Movies, International Movies",2
2015,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy",1
2015,"Horror Movies, Sci-Fi & Fantasy, Thrillers",1
2015,"Horror Movies, Thrillers",3
2015,"International Movies, LGBTQ Movies, Romantic Movies",1
2015,"International Movies, Music & Musicals",1
2015,"International Movies, Music & Musicals, Romantic Movies",1
2015,"International Movies, Romantic Movies",1
2015,"International Movies, Thrillers",3
2015,"International TV Shows, Korean TV Shows, Reality TV",2
2015,"International TV Shows, Korean TV Shows, Romantic TV Shows",8
2015,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",1
2015,"International TV Shows, Reality TV",4
2015,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",1
2015,"International TV Shows, Romantic TV Shows, TV Comedies",9
2015,"International TV Shows, Romantic TV Shows, TV Dramas",16
2015,"International TV Shows, Spanish-Language TV Shows, TV Comedies",1
2015,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2
2015,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",1
2015,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",1
2015,"International TV Shows, TV Comedies",1
2015,"International TV Shows, TV Comedies, TV Dramas",4
2015,"International TV Shows, TV Dramas",8
2015,"International TV Shows, TV Dramas, TV Horror",1
2015,"International TV Shows, TV Dramas, TV Thrillers",1
2015,"International TV Shows, TV Dramas, Teen TV Shows",1
2015,"International TV Shows, TV Horror, TV Thrillers",2
2015,Kids' TV,7
2015,"Kids' TV, Korean TV Shows",2
2015,"Kids' TV, Korean TV Shows, TV Comedies",1
2015,"Kids' TV, Spanish-Language TV Shows",1
2015,"Kids' TV, TV Comedies",8
2015,Movies,8
2015,Reality TV,3
2015,"Sci-Fi & Fantasy, Thrillers",1
2015,Stand-Up Comedy,16
2015,Stand-Up Comedy & Talk Shows,1
2015,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy",1
2015,TV Comedies,4
2015,"TV Comedies, TV Dramas",2
2015,"TV Comedies, TV Dramas, Teen TV Shows",1
2015,TV Dramas,1
2015,"TV Dramas, TV Horror, TV Mysteries",1
2015,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",1
2015,"TV Dramas, TV Thrillers",1
2015,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",1
2015,"TV Horror, TV Mysteries, TV Thrillers",2
2015,TV Shows,1
2015,Thrillers,3
2016,Action & Adventure,12
2016,"Action & Adventure, Anime Features, Horror Movies",1
2016,"Action & Adventure, Anime Features, International Movies",1
2016,"Action & Adventure, Children & Family Movies",1
2016,"Action & Adventure, Children & Family Movies, Comedies",1
2016,"Action & Adventure, Comedies",4
2016,"Action & Adventure, Comedies, Dramas",2
2016,"Action & Adventure, Comedies, Independent Movies",1
2016,"Action & Adventure, Comedies, International Movies",7
2016,"Action & Adventure, Documentaries, International Movies",1
2016,"Action & Adventure, Dramas",3
2016,"Action & Adventure, Dramas, International Movies",16
2016,"Action & Adventure, Horror Movies, International Movies",1
2016,"Action & Adventure, Independent Movies",1
2016,"Action & Adventure, Independent Movies, International Movies",1
2016,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",2
2016,"Action & Adventure, International Movies",15
2016,"Action & Adventure, International Movies, Sci-Fi & Fantasy",4
2016,"Action & Adventure, International Movies, Thrillers",1
2016,"Action & Adventure, Romantic Movies",1
2016,"Action & Adventure, Romantic Movies, Sci-Fi & Fantasy",1
2016,"Action & Adventure, Sci-Fi & Fantasy",3
2016,"Anime Features, Children & Family Movies",1
2016,"Anime Features, Children & Family Movies, International Movies",1
2016,"Anime Features, International Movies",1
2016,"Anime Series, Crime TV Shows, International TV Shows",1
2016,"Anime Series, International TV Shows",5
2016,"Anime Series, International TV Shows, TV Thrillers",1
2016,"Anime Series, International TV Shows, Teen TV Shows",1
2016,"Anime Series, Kids' TV",3
2016,"British TV Shows, Crime TV Shows, Docuseries",2
2016,"British TV Shows, Crime TV Shows, International TV Shows",4
2016,"British TV Shows, Crime TV Shows, TV Dramas",1
2016,"British TV Shows, Docuseries",1
2016,"British TV Shows, Docuseries, International TV Shows",3
2016,"British TV Shows, Docuseries, Reality TV",1
2016,"British TV Shows, Docuseries, Science & Nature TV",7
2016,"British TV Shows, International TV Shows, Reality TV",3
2016,"British TV Shows, International TV Shows, Romantic TV Shows",1
2016,"British TV Shows, International TV Shows, TV Comedies",2
2016,"British TV Shows, Kids' TV",1
2016,"British TV Shows, Kids' TV, TV Comedies",2
2016,"British TV Shows, Reality TV",1
2016,"British TV Shows, TV Comedies",1
2016,Children & Family Movies,12
2016,"Children & Family Movies, Comedies",17
2016,"Children & Family Movies, Comedies, Cult Movies",1
2016,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",1
2016,"Children & Family Movies, Documentaries",1
2016,"Children & Family Movies, Documentaries, International Movies",2
2016,"Children & Family Movies, Dramas",1
2016,"Children & Family Movies, Dramas, Sports Movies",2
2016,"Children & Family Movies, Independent Movies",1
2016,"Children & Family Movies, Music & Musicals",2
2016,"Children & Family Movies, Sci-Fi & Fantasy",1
2016,"Classic & Cult TV, TV Action & Adventure, TV Horror",1
2016,Comedies,12
2016,"Comedies, Documentaries, International Movies",1
2016,"Comedies, Dramas",5
2016,"Comedies, Dramas, Faith & Spirituality",1
2016,"Comedies, Dramas, Independent Movies",19
2016,"Comedies, Dramas, International Movies",24
2016,"Comedies, Dramas, Music & Musicals",1
2016,"Comedies, Dramas, Romantic Movies",1
2016,"Comedies, Horror Movies",1
2016,"Comedies, Horror Movies, Independent Movies",1
2016,"Comedies, Independent Movies",5
2016,"Comedies, Independent Movies, International Movies",5
2016,"Comedies, Independent Movies, LGBTQ Movies",1
2016,"Comedies, Independent Movies, Music & Musicals",1
2016,"Comedies, Independent Movies, Thrillers",1
2016,"Comedies, International Movies",21
2016,"Comedies, International Movies, LGBTQ Movies",1
2016,"Comedies, International Movies, Music & Musicals",2
2016,"Comedies, International Movies, Romantic Movies",8
2016,"Comedies, International Movies, Sci-Fi & Fantasy",1
2016,"Comedies, International Movies, Sports Movies",2
2016,"Comedies, Romantic Movies",1
2016,"Comedies, Sci-Fi & Fantasy",1
2016,"Crime TV Shows, Docuseries",2
2016,"Crime TV Shows, Docuseries, International TV Shows",2
2016,"Crime TV Shows, International TV Shows, Korean TV Shows",2
2016,"Crime TV Shows, International TV Shows, Romantic TV Shows",1
2016,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",5
2016,"Crime TV Shows, International TV Shows, TV Action & Adventure",1
2016,"Crime TV Shows, International TV Shows, TV Dramas",8
2016,"Crime TV Shows, Kids' TV, TV Comedies",1
2016,"Crime TV Shows, Romantic TV Shows, TV Dramas",1
2016,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",1
2016,"Crime TV Shows, TV Action & Adventure",1
2016,"Crime TV Shows, TV Action & Adventure, TV Dramas",1
2016,"Crime TV Shows, TV Comedies",1
2016,"Crime TV Shows, TV Dramas",2
2016,"Crime TV Shows, TV Dramas, TV Mysteries",2
2016,Documentaries,67
2016,"Documentaries, Dramas, International Movies",1
2016,"Documentaries, Faith & Spirituality, Music & Musicals",1
2016,"Documentaries, International Movies",30
2016,"Documentaries, International Movies, LGBTQ Movies",1
2016,"Documentaries, International Movies, Music & Musicals",5
2016,"Documentaries, International Movies, Sports Movies",6
2016,"Documentaries, LGBTQ Movies",2
2016,"Documentaries, Music & Musicals",6
2016,"Documentaries, Sports Movies",13
2016,Docuseries,6
2016,"Docuseries, International TV Shows",1
2016,"Docuseries, International TV Shows, Reality TV",2
2016,"Docuseries, International TV Shows, Science & Nature TV",3
2016,"Docuseries, Reality TV, Science & Nature TV",1
2016,"Docuseries, Science & Nature TV",5
2016,Dramas,16
2016,"Dramas, Faith & Spirituality",1
2016,"Dramas, Independent Movies",15
2016,"Dramas, Independent Movies, International Movies",28
2016,"Dramas, Independent Movies, LGBTQ Movies",3
2016,"Dramas, Independent Movies, Romantic Movies",4
2016,"Dramas, Independent Movies, Sci-Fi & Fantasy",1
2016,"Dramas, Independent Movies, Sports Movies",1
2016,"Dramas, Independent Movies, Thrillers",3
2016,"Dramas, International Movies",47
2016,"Dramas, International Movies, Music & Musicals",3
2016,"Dramas, International Movies, Romantic Movies",18
2016,"Dramas, International Movies, Sports Movies",6
2016,"Dramas, International Movies, Thrillers",19
2016,"Dramas, LGBTQ Movies",1
2016,"Dramas, Music & Musicals",1
2016,"Dramas, Music & Musicals, Romantic Movies",1
2016,"Dramas, Romantic Movies",2
2016,"Dramas, Sci-Fi & Fantasy",2
2016,"Dramas, Sports Movies",2
2016,"Dramas, Thrillers",15
2016,Horror Movies,5
2016,"Horror Movies, Independent Movies",3
2016,"Horror Movies, Independent Movies, Sci-Fi & Fantasy",1
2016,"Horror Movies, Independent Movies, Thrillers",2
2016,"Horror Movies, International Movies",5
2016,"Horror Movies, International Movies, Thrillers",3
2016,"Horror Movies, Thrillers",9
2016,"Independent Movies, Thrillers",1
2016,International Movies,1
2016,"International Movies, Romantic Movies",3
2016,"International Movies, Romantic Movies, Sci-Fi & Fantasy",1
2016,"International Movies, Sci-Fi & Fantasy",1
2016,"International Movies, Sci-Fi & Fantasy, Thrillers",2
2016,"International Movies, Thrillers",9
2016,"International TV Shows, Korean TV Shows, Romantic TV Shows",10
2016,"International TV Shows, Korean TV Shows, TV Action & Adventure",1
2016,"International TV Shows, Korean TV Shows, TV Comedies",2
2016,"International TV Shows, Korean TV Shows, TV Dramas",5
2016,"International TV Shows, Reality TV",3
2016,"International TV Shows, Reality TV, Spanish-Language TV Shows",2
2016,"International TV Shows, Reality TV, TV Comedies",1
2016,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",1
2016,"International TV Shows, Romantic TV Shows, TV Comedies",13
2016,"International TV Shows, Romantic TV Shows, TV Dramas",14
2016,"International TV Shows, Romantic TV Shows, Teen TV Shows",1
2016,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2
2016,"International TV Shows, Spanish-Language TV Shows, TV Dramas",4
2016,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",1
2016,"International TV Shows, TV Comedies",3
2016,"International TV Shows, TV Comedies, TV Dramas",2
2016,"International TV Shows, TV Dramas",14
2016,"International TV Shows, TV Dramas, TV Horror",2
2016,"International TV Shows, TV Dramas, TV Mysteries",3
2016,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2
2016,"International TV Shows, TV Dramas, TV Thrillers",1
2016,Kids' TV,28
2016,"Kids' TV, Korean TV Shows",5
2016,"Kids' TV, Korean TV Shows, TV Comedies",1
2016,"Kids' TV, TV Comedies",4
2016,"Kids' TV, TV Comedies, TV Dramas",1
2016,Movies,6
2016,Music & Musicals,1
2016,"Music & Musicals, Stand-Up Comedy",3
2016,Reality TV,8
2016,"Reality TV, Teen TV Shows",2
2016,"Romantic TV Shows, Spanish-Language TV Shows, TV Comedies",1
2016,"Romantic TV Shows, TV Comedies, TV Dramas",2
2016,"Romantic TV Shows, TV Dramas",1
2016,"Spanish-Language TV Shows, TV Dramas",1
2016,Stand-Up Comedy,34
2016,"Stand-Up Comedy & Talk Shows, TV Comedies",1
2016,"TV Action & Adventure, TV Comedies",1
2016,"TV Action & Adventure, TV Dramas",1
2016,TV Comedies,4
2016,"TV Comedies, TV Dramas",1
2016,"TV Comedies, TV Dramas, Teen TV Shows",1
2016,"TV Dramas, TV Horror, TV Mysteries",1
2016,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",1
2016,"TV Dramas, TV Thrillers",1
2016,Thrillers,7
2017,Action & Adventure,13
2017,"Action & Adventure, Anime Features, International Movies",2
2017,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",1
2017,"Action & Adventure, Comedies, Dramas",3
2017,"Action & Adventure, Comedies, International Movies",8
2017,"Action & Adventure, Comedies, Sci-Fi & Fantasy",1
2017,"Action & Adventure, Documentaries, International Movies",2
2017,"Action & Adventure, Documentaries, Sports Movies",1
2017,"Action & Adventure, Dramas",2
2017,"Action & Adventure, Dramas, Independent Movies",2
2017,"Action & Adventure, Dramas, International Movies",20
2017,"Action & Adventure, Dramas, Sci-Fi & Fantasy",1
2017,"Action & Adventure, Horror Movies",1
2017,"Action & Adventure, Horror Movies, Independent Movies",1
2017,"Action & Adventure, Independent Movies",2
2017,"Action & Adventure, International Movies",17
2017,"Action & Adventure, International Movies, Sci-Fi & Fantasy",2
2017,"Action & Adventure, International Movies, Sports Movies",1
2017,"Action & Adventure, Sci-Fi & Fantasy",9
2017,"Anime Features, Children & Family Movies",2
2017,"Anime Features, Music & Musicals, Sci-Fi & Fantasy",1
2017,"Anime Features, Romantic Movies",1
2017,"Anime Series, International TV Shows",7
2017,"Anime Series, International TV Shows, Teen TV Shows",1
2017,"Anime Series, Kids' TV",2
2017,"British TV Shows, Crime TV Shows, Docuseries",3
2017,"British TV Shows, Crime TV Shows, International TV Shows",3
2017,"British TV Shows, Crime TV Shows, TV Dramas",2
2017,"British TV Shows, Docuseries",2
2017,"British TV Shows, Docuseries, International TV Shows",5
2017,"British TV Shows, Docuseries, Science & Nature TV",1
2017,"British TV Shows, International TV Shows, Reality TV",6
2017,"British TV Shows, International TV Shows, Romantic TV Shows",2
2017,"British TV Shows, International TV Shows, TV Comedies",2
2017,"British TV Shows, Kids' TV",3
2017,"British TV Shows, Kids' TV, TV Comedies",1
2017,"British TV Shows, Reality TV",1
2017,"British TV Shows, Reality TV, Romantic TV Shows",1
2017,"British TV Shows, TV Comedies",2
2017,Children & Family Movies,17
2017,"Children & Family Movies, Comedies",13
2017,"Children & Family Movies, Comedies, Dramas",3
2017,"Children & Family Movies, Comedies, International Movies",1
2017,"Children & Family Movies, Comedies, Music & Musicals",2
2017,"Children & Family Movies, Documentaries",5
2017,"Children & Family Movies, Dramas",1
2017,"Children & Family Movies, Dramas, Faith & Spirituality",1
2017,"Children & Family Movies, Dramas, International Movies",2
2017,"Children & Family Movies, Dramas, Music & Musicals",1
2017,"Children & Family Movies, Dramas, Romantic Movies",1
2017,"Children & Family Movies, Dramas, Sports Movies",1
2017,"Children & Family Movies, Faith & Spirituality",1
2017,"Children & Family Movies, Music & Musicals",3
2017,"Classic & Cult TV, TV Comedies",1
2017,Comedies,13
2017,"Comedies, Cult Movies, Independent Movies",1
2017,"Comedies, Dramas",4
2017,"Comedies, Dramas, Faith & Spirituality",1
2017,"Comedies, Dramas, Independent Movies",13
2017,"Comedies, Dramas, International Movies",28
2017,"Comedies, Dramas, LGBTQ Movies",1
2017,"Comedies, Dramas, Romantic Movies",2
2017,"Comedies, Horror Movies",2
2017,"Comedies, Horror Movies, Independent Movies",1
2017,"Comedies, Horror Movies, International Movies",3
2017,"Comedies, Independent Movies",8
2017,"Comedies, Independent Movies, International Movies",4
2017,"Comedies, Independent Movies, Romantic Movies",2
2017,"Comedies, Independent Movies, Thrillers",1
2017,"Comedies, International Movies",22
2017,"Comedies, International Movies, Music & Musicals",2
2017,"Comedies, International Movies, Romantic Movies",20
2017,"Comedies, International Movies, Sports Movies",1
2017,"Comedies, Music & Musicals, Romantic Movies",1
2017,"Comedies, Romantic Movies",3
2017,"Crime TV Shows, Docuseries",4
2017,"Crime TV Shows, Docuseries, International TV Shows",3
2017,"Crime TV Shows, Docuseries, TV Mysteries",1
2017,"Crime TV Shows, International TV Shows, Korean TV Shows",2
2017,"Crime TV Shows, International TV Shows, Romantic TV Shows",1
2017,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",4
2017,"Crime TV Shows, International TV Shows, TV Action & Adventure",1
2017,"Crime TV Shows, International TV Shows, TV Comedies",3
2017,"Crime TV Shows, International TV Shows, TV Dramas",15
2017,"Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy",1
2017,"Crime TV Shows, Kids' TV, TV Comedies",1
2017,"Crime TV Shows, TV Action & Adventure, TV Dramas",2
2017,"Crime TV Shows, TV Comedies, TV Dramas",1
2017,"Crime TV Shows, TV Dramas",3
2017,"Crime TV Shows, TV Dramas, TV Horror",1
2017,"Crime TV Shows, TV Dramas, TV Mysteries",3
2017,Documentaries,89
2017,"Documentaries, Dramas, International Movies",1
2017,"Documentaries, Faith & Spirituality",2
2017,"Documentaries, Horror Movies",2
2017,"Documentaries, International Movies",29
2017,"Documentaries, International Movies, LGBTQ Movies",4
2017,"Documentaries, International Movies, Music & Musicals",5
2017,"Documentaries, International Movies, Sports Movies",4
2017,"Documentaries, LGBTQ Movies",6
2017,"Documentaries, LGBTQ Movies, Music & Musicals",2
2017,"Documentaries, Music & Musicals",7
2017,"Documentaries, Sports Movies",13
2017,Docuseries,9
2017,"Docuseries, International TV Shows",4
2017,"Docuseries, International TV Shows, Science & Nature TV",3
2017,"Docuseries, Reality TV",1
2017,"Docuseries, Science & Nature TV",3
2017,Dramas,19
2017,"Dramas, Faith & Spirituality",3
2017,"Dramas, Faith & Spirituality, International Movies",2
2017,"Dramas, Independent Movies",12
2017,"Dramas, Independent Movies, International Movies",38
2017,"Dramas, Independent Movies, LGBTQ Movies",1
2017,"Dramas, Independent Movies, Romantic Movies",3
2017,"Dramas, Independent Movies, Sci-Fi & Fantasy",1
2017,"Dramas, Independent Movies, Sports Movies",3
